COVID-19 Vaccinations in the United States
Date generated: Sat Sep 11 2021 09:10:44 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,988195,135083,179163,752270,102833,699266,126779,406535,55.6,376755,68.3,352639,48.2,329523,59.7,521355,407540,59300,0,32385,303621,415951,313,137839,184593,30150,57,137460,161993,30017,53,322683,55.6,376755,68.3,44.1,299698,54.3,406535,77956,85.1,72947,79.6,40705,29235,2981,26,149645,163389,1078960,405207,66.5,351826,57.8,137835,183786,30148,57,750123,123198,162298
Alabama,6388850,130300,167472,4287769,87449,4079492,106936,2504656,51.1,2378156,62.3,1956859,39.9,1874706,49.1,3232530,2875020,281300,0,135358,1908351,2244052,8,839186,979562,137765,346,838792,897884,137685,345,1819975,51.1,2378156,62.3,37.1,1737901,45.6,2504656,726229,85.5,624488,73.5,330348,259723,34198,219,1316780,154945,751774,2504272,59.8,1956802,46.7,839174,979526,137756,346,4287371,102400,152592
Arkansas,3851970,127641,166202,2890656,95787,2698739,116443,1639387,54.3,1528041,65.9,1307990,43.3,1227774,53,1967670,1705400,178900,0,95396,1266631,1526191,2438,562454,651328,93582,626,561418,572674,93075,607,1214935,54.3,1528041,65.9,40.3,1135196,49,1639387,442466,84.5,375024,71.6,213577,147128,13959,360,816857,155924,735274,1635608,64,1306508,51.1,562447,649971,93465,625,2885455,112834,150630
American Samoa,62040,111404,143032,58459,104974,49692,114564,32387,58.2,27214,62.7,26666,47.9,23103,53.3,45840,15600,600,0,546,14841,43071,1,6489,19623,554,0,6475,16075,553,0,26113,58.2,27214,62.7,46.9,22551,52,32387,2821,29.9,2549,27,1051,1473,25,0,5274,55892,657482,32377,68.1,26661,56.1,6488,19619,554,0,58444,122893,130454
Arizona,9549970,131204,169371,7942312,109117,7418297,131566,4205103,57.8,3919899,69.5,3600809,49.5,3374220,59.8,5178030,3940940,431000,0,280834,3264033,4385861,11584,1414348,1911162,271685,3614,1413827,1685533,271287,3573,3330811,57.8,3919899,69.5,45.8,3104613,55.1,4205103,1153123,88.1,1005952,76.9,494515,464488,45029,1920,2298007,175604,729767,4204194,67.7,3600444,58,1414324,1911056,271451,3613,7941277,127960,153881
Bureau of Prisons,230980,N/A,N/A,220908,N/A,220906,N/A,119065,N/A,119063,N/A,112445,N/A,112444,N/A,124020,96360,10600,0,11077,89297,120534,0,43065,58331,11049,0,43065,58331,11048,0,101437,N/A,119063,N/A,0,101437,0,119065,3505,0,3439,0,1656,1623,160,0,6814,0,0,119063,0,112444,0,43065,58331,11048,0,220906,0,0
California,56498335,142990,184529,48873266,123692,45193945,147608,27602470,69.9,25546600,83.4,22475646,56.9,20850941,68.1,31546755,22335780,2615800,0,1799905,18931500,28129318,12543,8319644,12363833,1788348,3821,8294530,10771871,1780966,3574,20701256,69.9,25546600,83.4,52.4,19083853,62.3,27602470,5738386,98.3,4633658,79.4,2349923,2102557,179947,1231,10427764,178615,967750,27522410,81.8,22426984,66.7,8319218,12315942,1788011,3813,48744288,144873,167919
Colorado,7923665,137594,176112,6940952,120529,6440996,143158,3695976,64.2,3427560,76.2,3327565,57.8,3097418,68.8,4382085,3201280,340300,0,259522,2773240,3903569,4621,1283794,1787181,255193,1397,1280167,1561878,254024,1349,3074283,64.2,3427560,76.2,53.4,2845275,63.2,3695976,761442,90.4,694616,82.5,340015,330834,23280,487,1493975,177345,940593,3684164,74.6,3319484,67.2,1283779,1779139,255170,1396,6920891,140211,160526
Connecticut,5436235,152477,191562,4889101,137131,4524851,159447,2655180,74.5,2458021,86.6,2384751,66.9,2222128,78.3,2974035,2212200,250000,0,200608,1831616,2855976,901,860211,1324386,199840,314,859828,1162382,199669,249,2185604,74.5,2458021,86.6,61.3,2023140,71.3,2655180,619257,98.3,577234,91.6,227840,329301,20025,68,1203412,190944,862560,2653858,85.4,2384284,76.8,860006,1324206,199760,312,4887388,157356,175027
District of Columbia,1185245,167941,205208,965563,136814,930003,161017,484212,68.6,461501,79.9,412083,58.4,396410,68.6,667125,463720,54400,0,30310,368662,566161,430,151772,226055,34012,244,151714,210478,33991,227,378401,68.6,461501,79.9,53.6,362747,62.8,484212,79490,91,71209,81.5,38988,29738,2453,30,182624,209088,1357000,484105,79.4,412034,67.6,151766,226017,34009,242,965472,158338,194381
